orgao_codigo,orgao_descricao,uo_codigo,uo_descricao,unidade_gestora_codigo,unidade_gestora_descricao,fonte_de_recursos_codigo,fonte_de_recursos_descricao,licitacao_codigo,licitacao_descricao,funcao_codigo,funcao_descricao,subfuncao_codigo,subfuncao_descricao,programa_codigo,programa_descricao,acao_codigo,acao_descricao,funcional_programatica_codigo,funcional_programatica_descricao,municipio_codigo,municipio_descricao,despesas_codigo,despesas_descricao,empenhado,liquidado,pago,pago_restos
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,0,ADIANTAMENTO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903030,MEDICAMENTOS E INSUMOS FARMACEUTICOS,200.00,200.00,0.00,0.00
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,0,ADIANTAMENTO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903993,VERBA DE REPRESENTACAO,20000.00,10000.00,10000.00,0.00
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,4,CONCORRENCIA,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,12150000,EXPANSAO E ADEQUACAO INSTALACOES PAL. 9 JULHO,01031015012150000,EXPANSAO E ADEQUACAO INSTALACOES PAL. 9 JULHO,0100,SAO PAULO                                    ,33903981,REFORMAS SEM AMPLIA��O DO IM�VEL,0.00,0.00,0.00,516522.87
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,4,CONCORRENCIA,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,12150000,EXPANSAO E ADEQUACAO INSTALACOES PAL. 9 JULHO,01031015012150000,EXPANSAO E ADEQUACAO INSTALACOES PAL. 9 JULHO,0100,SAO PAULO                                    ,33903999,OUTROS SERVICOS DE TERCEIROS,1760991.00,0.00,0.00,108668.87
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,4,CONCORRENCIA,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,62750000,PUBLICIDADE INSTITUCIONAL DA ALESP,01031015062750000,PUBLICIDADE INSTITUCIONAL DA ALESP,0100,SAO PAULO                                    ,33903928,SERVICOS DE PUBLICIDADE INSTITUCIONAL,0.00,0.00,0.00,568787.26
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,12150000,EXPANSAO E ADEQUACAO INSTALACOES PAL. 9 JULHO,01031015012150000,EXPANSAO E ADEQUACAO INSTALACOES PAL. 9 JULHO,0100,SAO PAULO                                    ,33903981,REFORMAS SEM AMPLIA��O DO IM�VEL,0.00,0.00,0.00,45369.28
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,45080000,DIVULGACAO DOS TRABALHOS LEGISLATIVOS,01031015045080000,DIVULGACAO DOS TRABALHOS LEGISLATIVOS,0100,SAO PAULO                                    ,33903060,MATERIAIS E SUPRIMENTOS DE INFORMATICA,0.00,0.00,0.00,14105.80
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,45080000,DIVULGACAO DOS TRABALHOS LEGISLATIVOS,01031015045080000,DIVULGACAO DOS TRABALHOS LEGISLATIVOS,0100,SAO PAULO                                    ,33903999,OUTROS SERVICOS DE TERCEIROS,6659660.69,0.00,0.00,137657.41
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903031,"MATERIAL MEDICO,HOSPITALAR E ODONTOLOGICO",0.00,0.00,0.00,720.00
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903043,"LIVROS P/BIBLIO.PUBLI,MAPAS,OUTRAS PUBLICACA",0.00,0.00,0.00,2174.76
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903050,PECAS DE REPOSICAO E ACESSORIOS,0.00,0.00,0.00,4545.00
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903054,MATERIAL INSTALACAO ELETRICA E ELETRONICA,557.00,0.00,0.00,1925.86
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903066,MATERIAL PROT.SEGUR.SOCORRO E SOBREVIVENCIA,0.00,0.00,0.00,2150.00
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903090,OUTROS MATERIAIS DE CONSUMO,315.00,0.00,0.00,0.00
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903916,GAS MEDICINAL (SERV.DE FORNEC. E LOCACAO),18000.00,0.00,0.00,0.00
01000,ASSEMBLEIA LEGISLATIVA,01001,ASSEMBLEIA LEGISLATIVA,010101,ASSEMBLEIA LEGISLATIVA,150010,RECURSOS NAO VINC DE IMPOSTOS - TESOURO,5,DISPENSA DE LICITACAO,01,LEGISLATIVA,031,ACAO LEGISLATIVA,0150,DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES,48170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,01031015048170000,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,0100,SAO PAULO                                    ,33903926,PUBLICIDADE LEGAL,0.00,0.00,0.00,2252.00
